,House Music
0,acidhouse
1,ambienthouse
2,balearicbeat
3,chicagohouse
4,deephouse
5,divahouse
6,hardbag
7,electrohouse
8,bigroomhouse
9,complextro
10,dutchhouse
11,fidgethouse
12,frenchhouse
13,funkyhouse
14,futurehouse
15,garagehouse
16,ghettohouse
17,ghettotech
18,jukehouse
19,footwork
20,hardhouse
21,harddance
22,hiphouse
23,italohouse
24,jazzhouse
25,kidandali
26,kwaito
27,gqom
28,latinhouse
29,microhouse
30,moombahton
31,moombahcore
32,outsiderhouse
33,progressivehouse
34,raratech
35,techhouse
36,tribalhouse
37,tropicalhouse
38,witchhouse
